#,Region,District,Jul-2023,Aug-2023,Sep-2023,Oct-2023,Nov-2023,Dec-2023
,,,,,,,,
1,Awdal,Borama,708,969,182,352,184,
2,Awdal,Baki,42,518,733,67,121,187
3,Awdal,Lughaye,50,109,75,95,125,127
4,Awdal,Zeylac,74,170,152,152,51,
5,Woqooyi Galbeed,Hargeysa,270,538,167,59,37,100
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,,,,,,
8,Togdheer,Burco,340,655,2294,380,361,183
9,Togdheer,Buuhoodle,1893,4055,,,1770,
10,Togdheer,Owdweyne,,,,5,,
11,Togdheer,Sheikh,,,510,,,
12,Sool,Laas Caanood,694,3201,256,73,526,1089
13,Sool,Caynabo,,,6780,,9813,
14,Sool,Taleex,,20,,,,
15,Sool,Xudun,63,78,,,,
16,Sanaag,Ceerigaabo,,,1038,,,
17,Sanaag,Ceel Afweyn,,11700,,,,
18,Sanaag,Laasqoray,,1026,,1207,220,6
19,Bari,Bossaso,307,1003,86,61,127,60
20,Bari,Bandarbeyla,36,97,24,39,1266,67
21,Bari,Caluula,350,612,23,14,155,22
22,Bari,Iskushuban,818,1508,70,489,488,82
23,Bari,Qandala,782,1066,15,,94,19
24,Bari,Qardho,2209,5120,2271,1967,4654,1500
25,Nugaal,Garoowe,3249,7793,1244,2426,2393,64
26,Nugaal,Burtinle,232,947,809,604,3381,
27,Nugaal,Eyl,302,1140,1290,1483,3605,86
28,Mudug,Gaalkacyo,377,798,326,401,194910,162
29,Mudug,Galdogob,604,1145,358,433,441,230
30,Mudug,Hobyo,238,460,120,,2868,
31,Mudug,Jariiban,144,269,63,41,6547,32
32,Mudug,Xarardheere,8,8,12,19,7614,
33,Galgaduud,Dhuusamarreeb,178,259,11,7,5887,
34,Galgaduud,Cabudwaaq,449,568,,,,
35,Galgaduud,Cadaado,,91,,,,
36,Galgaduud,Ceel Buur,655,10822,,,,
37,Galgaduud,Ceel Dheer,,,,,,
38,Hiraan,Belet Weyne,476,1128,1624,2278,225316,12
39,Hiraan,Bulo Burto,12,354,5,12,4308,1080
40,Hiraan,Jalalaqsi,,,11,,,53196
41,Middle Shabelle,Jowhar,667,1133,550,1813,4741,360
42,Middle Shabelle,Adan Yabaal,160,405,244,37,,
43,Middle Shabelle,Balcad,105,288,75,182,191,1253
44,Middle Shabelle,Cadale,16115,16263,79,2341,,
45,Banadir,Mogadishu,18632,41062,8942,10722,27551,9250
46,Lower Shabelle,Marka,900,2251,750,1006,1226,362
47,Lower Shabelle,Afgooye,376,1233,2056,730,27661,398
48,Lower Shabelle,Baraawe,303,535,56,30,148,
49,Lower Shabelle,Kurtunwaarey,,120,,,3500,
50,Lower Shabelle,Qoryooley,11,25,,,,
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,,108,,,,
53,Bay,Baydhaba,1893,3905,1928,32853,67328,695
54,Bay,Buur Hakaba,169,193,88,82,531,261
55,Bay,Diinsoor,244,541,256,238,589,352
56,Bay,Qansax Dheere,215,439,167,241,617,354
57,Bakool,Xudur,992,2097,736,931,1552,441
58,Bakool,Ceel Barde,998,1990,902,1061,509,585
59,Bakool,Tayeeglow,,,,,,
60,Bakool,Waajid,,,,,,
61,Bakool,Rab Dhuure,,,,,300,
62,Gedo,Garbahaarey,5804,7425,1845,1233,94862,67
63,Gedo,Baardheere,7062,11442,4684,7831,84264,1704
64,Gedo,Belet Xaawo,1331,3743,1656,1328,,720
65,Gedo,Ceel Waaq,,194,343,313,46272,93
66,Gedo,Doolow,380,1038,875,1532,14779,1078
67,Gedo,Luuq,424,1334,748,16925,98147,629
68,Middle Juba,Bu'aale,1341,1992,955,2843,1110,1069
69,Middle Juba,Jilib,1072,1737,914,1803,1050,1008
70,Middle Juba,Saakow,3776,7256,6800,14659,95640,1557
71,Lower Juba,Kismaayo,7672,12053,3282,6545,91913,2102
72,Lower Juba,Afmadow,538,1553,1212,3586,26982,2374
73,Lower Juba,Badhaadhe,107,254,266,777,6106,529
74,Lower Juba,Jamaame,54,65,7,84,2629,137
