#,Region,District,Jan-2023,Feb-2023,Mar-2023,Apr-2023,May-2023,Jun-2023
,,,,,,,,
1,Awdal,Borama,,,159,,,
2,Awdal,Baki,,,105,24,,
3,Awdal,Lughaye,,,69,,,
4,Awdal,Zeylac,,,89,,,
5,Woqooyi Galbeed,Hargeysa,,,539,,,
6,Woqooyi Galbeed,Berbera,,,77,,,
7,Woqooyi Galbeed,Gebiley,,,363,,,
8,Togdheer,Burco,,,820,,,
9,Togdheer,Buuhoodle,189,166,,,,
10,Togdheer,Owdweyne,,,637,,,
11,Togdheer,Sheikh,,,40,,,
12,Sool,Laas Caanood,,,,,,
13,Sool,Caynabo,,,,,,
14,Sool,Taleex,1,,,,,
15,Sool,Xudun,5,3,,,,
16,Sanaag,Ceerigaabo,,,359,,,
17,Sanaag,Ceel Afweyn,,,260,,,
18,Sanaag,Laasqoray,561,390,84,,,
19,Bari,Bossaso,1624,738,,,,
20,Bari,Bandarbeyla,215,131,,,,
21,Bari,Caluula,85,99,,,,
22,Bari,Iskushuban,238,173,,,,
23,Bari,Qandala,21,20,,,,
24,Bari,Qardho,500,276,,,,
25,Nugaal,Garoowe,525,460,,,,
26,Nugaal,Burtinle,191,211,,,,
27,Nugaal,Eyl,132,128,,,,
28,Mudug,Gaalkacyo,649,535,9,,,
29,Mudug,Galdogob,124,135,,,,
30,Mudug,Hobyo,168,282,40,38,,5
31,Mudug,Jariiban,136,87,,,,
32,Mudug,Xarardheere,,,,,,
33,Galgaduud,Dhuusamarreeb,2,79,,,,
34,Galgaduud,Cabudwaaq,11,22,,,,
35,Galgaduud,Cadaado,27,16,,,,
36,Galgaduud,Ceel Buur,,,,,,
37,Galgaduud,Ceel Dheer,,,,,,
38,Hiraan,Belet Weyne,350,266,14,4,93,31
39,Hiraan,Bulo Burto,62,116,,,,
40,Hiraan,Jalalaqsi,,,,,,
41,Middle Shabelle,Jowhar,114,121,,53,12,51
42,Middle Shabelle,Adan Yabaal,,,,,,
43,Middle Shabelle,Balcad,11,11,,,,
44,Middle Shabelle,Cadale,,,,,,6
45,Banadir,Mogadishu,3057,2519,1,1,,
46,Lower Shabelle,Marka,204,170,,,,
47,Lower Shabelle,Afgooye,208,221,,,,
48,Lower Shabelle,Baraawe,288,155,,,,
49,Lower Shabelle,Kurtunwaarey,129,98,,,,
50,Lower Shabelle,Qoryooley,51,111,,,,
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,255,202,,,,
53,Bay,Baydhaba,625,560,1,2,1,4
54,Bay,Buur Hakaba,157,97,,,,7
55,Bay,Diinsoor,21,16,,,,
56,Bay,Qansax Dheere,77,64,,,,
57,Bakool,Xudur,174,40,,3,,13
58,Bakool,Ceel Barde,,,,,,
59,Bakool,Tayeeglow,,,,,,
60,Bakool,Waajid,,,5,2,17,25
61,Bakool,Rab Dhuure,,,,,,
62,Gedo,Garbahaarey,119,,,,5,
63,Gedo,Baardheere,,,,,,
64,Gedo,Belet Xaawo,270,,,,,
65,Gedo,Ceel Waaq,63,,,,,
66,Gedo,Doolow,69,,,,,
67,Gedo,Luuq,25,10,,3,1,
68,Middle Juba,Bu'aale,,,,,,
69,Middle Juba,Jilib,,,,,,
70,Middle Juba,Saakow,,,,,,
71,Lower Juba,Kismaayo,,,,10,,
72,Lower Juba,Afmadow,,,,,,
73,Lower Juba,Badhaadhe,,,,,,
74,Lower Juba,Jamaame,,,,,,
