#,Region,District,Jan-2015,Feb-2015,Mar-2015,Apr-2015,May-2015,Jun-2015
,,,,,,,,
1,Awdal,Borama,,,,,,
2,Awdal,Baki,,,,,,
3,Awdal,Lughaye,,,,,,
4,Awdal,Zeylac,,,,,,
5,Woqooyi Galbeed,Hargeysa,,,,4,,2
6,Woqooyi Galbeed,Berbera,,,,4,,4
7,Woqooyi Galbeed,Gebiley,,,,,,
8,Togdheer,Burco,,,,,,
9,Togdheer,Buuhoodle,,,,,,
10,Togdheer,Owdweyne,,,,,,
11,Togdheer,Sheikh,,,,,,
12,Sool,Laas Caanood,,,,,,
13,Sool,Caynabo,,,,,,
14,Sool,Taleex,,4,,,,
15,Sool,Xudun,,,,,,
16,Sanaag,Ceerigaabo,,,,,,
17,Sanaag,Ceel Afweyn,,,,,,
18,Sanaag,Laasqoray,,,,,,
19,Bari,Bossaso,16,16,10,82,78,40
20,Bari,Bandarbeyla,,,,,,
21,Bari,Caluula,,,,,,
22,Bari,Iskushuban,,,,,,
23,Bari,Qandala,,,,,,
24,Bari,Qardho,,,,,,
25,Nugaal,Garoowe,,,,,,
26,Nugaal,Burtinle,,,,,,
27,Nugaal,Eyl,,,,,,
28,Mudug,Gaalkacyo,9,10,,2,,10
29,Mudug,Galdogob,,,,,,
30,Mudug,Hobyo,,,,,,
31,Mudug,Jariiban,,,,,,
32,Mudug,Xarardheere,,,,,,
33,Galgaduud,Dhuusamarreeb,,,4,6,,
34,Galgaduud,Cabudwaaq,,,,,,
35,Galgaduud,Cadaado,,,,,,
36,Galgaduud,Ceel Buur,,,,,,
37,Galgaduud,Ceel Dheer,,,,,,
38,Hiraan,Belet Weyne,,324,4,170,,58
39,Hiraan,Bulo Burto,,,,,,
40,Hiraan,Jalalaqsi,,,,,,
41,Middle Shabelle,Jowhar,,,,,,
42,Middle Shabelle,Adan Yabaal,,,,,,
43,Middle Shabelle,Balcad,4,,,,,
44,Middle Shabelle,Cadale,,,,,,
45,Banadir,Mogadishu,138,240,1030,80,48,38
46,Lower Shabelle,Marka,,,,,,
47,Lower Shabelle,Afgooye,,,,,42,20
48,Lower Shabelle,Baraawe,,,,,,
49,Lower Shabelle,Kurtunwaarey,,,,,,
50,Lower Shabelle,Qoryooley,,,,,,
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,,,,,,
53,Bay,Baydhaba,,18,54,8,,16
54,Bay,Buur Hakaba,,,,,,
55,Bay,Diinsoor,,,,,,
56,Bay,Qansax Dheere,,,4,,,
57,Bakool,Xudur,,,4,,,4
58,Bakool,Ceel Barde,,,,,,
59,Bakool,Tayeeglow,24,,24,80,,24
60,Bakool,Waajid,32,,12,24,8,112
61,Bakool,Rab Dhuure,16,,32,24,52,44
62,Gedo,Garbahaarey,,,,,,
63,Gedo,Baardheere,3,,17,,8,8
64,Gedo,Belet Xaawo,,,12,68,60,36
65,Gedo,Ceel Waaq,,,4,,4,
66,Gedo,Doolow,,,,,,
67,Gedo,Luuq,4,44,76,,,12
68,Middle Juba,Bu'aale,,,,,,
69,Middle Juba,Jilib,,,,,,
70,Middle Juba,Saakow,8,,,,,
71,Lower Juba,Kismaayo,6,114,,,236,
72,Lower Juba,Afmadow,20,2,6,,6,16
73,Lower Juba,Badhaadhe,,,4,,,4
74,Lower Juba,Jamaame,,,,,,
