#,Region,District,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019
,,,,,,,,,
1,Awdal,Borama,"70,000","70,000","68,000","63,000","59,500","56,500","58,000"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,"107,500","100,000","100,000","100,000","100,000","90,000","97,500"
4,Awdal,Zeylac,"150,000","150,000","150,000","150,000","150,000","130,000","125,000"
5,Woqooyi Galbeed,Hargeysa,"70,000","70,000","70,000","70,000","70,000","70,000","80,000"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,"90,000","90,000","96,000","100,000","90,000","100,000","80,000"
8,Togdheer,Burco,"50,000","45,000","50,000","50,000","50,000","50,000","50,000"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,"150,000","150,000","150,000","176,250","180,000","180,000","190,000"
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,"150,000","150,000","150,000","150,000","150,000","150,000","150,000"
16,Sanaag,Ceerigaabo,"177,500","180,000","180,000","175,000","175,000","182,500","185,000"
17,Sanaag,Ceel Afweyn,"62,500","60,000","60,000","60,000","60,000","60,000","60,000"
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,"125,000","125,000","125,000","125,000","125,000","125,000","128,750"
20,Bari,Bandarbeyla,"130,000","130,000","130,000","130,000","130,000","130,000","130,000"
21,Bari,Caluula,"200,000","200,000","200,000","200,000","200,000","200,000","200,000"
22,Bari,Iskushuban,"150,000","150,000","150,000","150,000","150,000","150,000","150,000"
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"125,000","122,500","128,750","127,500","133,000","140,000","132,500"
26,Nugaal,Burtinle,,"100,000","100,000","120,000","101,000","96,250","98,750"
27,Nugaal,Eyl,"143,750","142,500","150,000","100,000","118,000","132,500","146,250"
28,Mudug,Gaalkacyo,"140,000","140,000","140,000","140,000","140,000","140,000","140,000"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,"180,000","200,000","200,000","190,000","190,000","190,000","190,000"
31,Mudug,Jariiban,"100,000","100,000","100,000","105,000","97,000","97,000","100,000"
32,Mudug,Xarardheere,"50,000","55,000","50,000","50,000","50,000","52,000","52,000"
33,Galgaduud,Dhuusamarreeb,"150,000","100,000","100,000","100,000","100,000","100,000","100,000"
34,Galgaduud,Cabudwaaq,"100,000","100,000","100,000","100,000","100,000","100,000","100,000"
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,"130,000","130,000","140,000","150,000","150,000","150,000","150,000"
38,Hiraan,Belet Weyne,"152,500","150,000","150,000","152,500","147,000","147,500","150,000"
39,Hiraan,Bulo Burto,"90,000","90,000","85,000","90,000","86,000","90,000","90,000"
40,Hiraan,Jalalaqsi,"72,000","71,000","72,025","71,000","70,000","71,000","70,000"
41,Middle Shabelle,Jowhar,"100,000","102,500","97,500","105,000","105,000","120,000","120,000"
42,Middle Shabelle,Adan Yabaal,"45,000","45,000","37,500","40,000","35,000","37,500","37,500"
43,Middle Shabelle,Balcad,"42,500","36,250","28,750","25,000","45,000","50,000","47,500"
44,Middle Shabelle,Cadale,"40,000","20,000","20,000","22,500","21,250","21,250","21,250"
45,Banadir,Mogadishu,"100,000","90,000","80,000","80,000","80,000","80,000","80,000"
46,Lower Shabelle,Marka,"55,000","55,000","50,000","52,500","43,750","45,000","55,000"
47,Lower Shabelle,Afgooye,"55,000","45,000","55,000","55,000","55,000","55,000","55,000"
48,Lower Shabelle,Baraawe,"61,250","45,000","72,500","40,000",,"40,000","40,000"
49,Lower Shabelle,Kurtunwaarey,"83,750","77,500","67,750","66,250","62,500","56,250","56,250"
