#,Region,District,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012
,,,,,,,,
1,Awdal,Borama,2.912,3.329,11.778,73.005,52.732,18.907
2,Awdal,Baki,4.176,2.242,4.306,77.089,31.358,6.495
3,Awdal,Lughaye,5.648,2.857,4.369,31.325,4.758,0.496
4,Awdal,Zeylac,6.936,4.467,6.848,20.485,7.704,2.163
5,Woqooyi Galbeed,Hargeysa,2.004,3.251,6.875,83.534,93.498,33.269
6,Woqooyi Galbeed,Berbera,3.997,0.853,1.174,76.527,68.651,2.126
7,Woqooyi Galbeed,Gebiley,1.534,2.292,7.218,100.524,82.511,30.386
8,Togdheer,Burco,2.066,2.435,5.26,49.388,88.309,12.797
9,Togdheer,Buuhoodle,0.938,1.179,5.516,36.996,89.603,2.325
10,Togdheer,Owdweyne,2.523,3.775,8.13,45.485,103.027,27.525
11,Togdheer,Sheikh,2.563,3.671,4.586,90.819,100.897,21.783
12,Sool,Laas Caanood,1.047,0.574,2.256,15.557,61.481,0.813
13,Sool,Caynabo,2.074,1.296,2.897,48.619,62.725,8.332
14,Sool,Taleex,0.648,0.538,4.233,16.611,32.288,3.796
15,Sool,Xudun,1.496,0.453,1.383,18.673,56.212,3.717
16,Sanaag,Ceerigaabo,2.441,2.043,10.298,22.78,55.187,13.769
17,Sanaag,Ceel Afweyn,3.028,1.781,2.779,34.82,70.811,13.278
18,Sanaag,Laasqoray,0.316,1.002,6.406,29.694,41.569,7.973
19,Bari,Bossaso,0.419,0.736,2.341,31.814,22.744,5.373
20,Bari,Bandarbeyla,1.226,0.309,2.031,15.349,40.728,0.922
21,Bari,Caluula,1.499,0.306,2.912,16.385,11.899,0.92
22,Bari,Iskushuban,0.648,0.241,1.822,16.82,16.998,1.856
23,Bari,Qandala,0.537,0.78,3.339,41.419,23.234,4.797
24,Bari,Qardho,0.21,0.506,4.395,20.801,54.685,3.196
25,Nugaal,Garoowe,1.71,0.412,3.094,20.21,68.318,0.897
26,Nugaal,Burtinle,1.07,0.609,3.565,22.892,91.375,1.304
27,Nugaal,Eyl,2.395,0.255,3.335,21.07,99.994,1.116
28,Mudug,Gaalkacyo,0.496,0.487,2.768,34.118,86.719,1.892
29,Mudug,Galdogob,0.266,0.464,3.694,31.664,96.705,1.723
30,Mudug,Hobyo,0.967,0.697,7.258,38.022,67.792,1.657
31,Mudug,Jariiban,0.986,0.506,5.469,28.201,87.054,1.343
32,Mudug,Xarardheere,2.81,1.819,11.218,57.607,65.969,2.998
33,Galgaduud,Dhuusamarreeb,2.287,1.01,7.616,56.427,61.672,1.074
34,Galgaduud,Cabudwaaq,1.179,1.873,4.297,64.995,81.167,1.507
35,Galgaduud,Cadaado,2.032,0.685,3.418,49.953,77.006,1.676
36,Galgaduud,Ceel Buur,3.211,1.414,7.571,50.726,59.612,1.23
37,Galgaduud,Ceel Dheer,2.721,1.526,9.379,61.162,46.098,5.346
38,Hiraan,Belet Weyne,0.981,0.897,4.695,67.479,68.571,2.001
39,Hiraan,Bulo Burto,1.813,1.056,5.894,70.209,68.76,2.987
40,Hiraan,Jalalaqsi,2.24,1.445,6.021,82.026,72.405,5.27
