#,Region,District,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012
,,,,,,,,
1,Awdal,Borama,0.163,0.152,0.143,0.159,0.19,0.169
2,Awdal,Baki,0.125,0.118,0.112,0.115,0.121,0.11
3,Awdal,Lughaye,0.091,0.089,0.088,0.086,0.084,0.081
4,Awdal,Zeylac,0.096,0.095,0.091,0.09,0.09,0.084
5,Woqooyi Galbeed,Hargeysa,0,0,0,0,0,0
6,Woqooyi Galbeed,Berbera,0.11,0.105,0.103,0.102,0.103,0.099
7,Woqooyi Galbeed,Gebiley,0.163,0.152,0.143,0.155,0.188,0.174
8,Togdheer,Burco,0.162,0.157,0.157,0.165,0.184,0.175
9,Togdheer,Buuhoodle,0.177,0.169,0.168,0.183,0.226,0.203
10,Togdheer,Owdweyne,0.149,0.146,0.145,0.151,0.17,0.17
11,Togdheer,Sheikh,0.186,0.168,0.157,0.171,0.206,0.187
12,Sool,Laas Caanood,0.144,0.138,0.136,0.145,0.18,0.168
13,Sool,Caynabo,0.142,0.138,0.137,0.142,0.164,0.16
14,Sool,Taleex,0.137,0.133,0.131,0.134,0.156,0.155
15,Sool,Xudun,0.123,0.121,0.121,0.124,0.145,0.144
16,Sanaag,Ceerigaabo,0.133,0.129,0.128,0.131,0.15,0.149
17,Sanaag,Ceel Afweyn,0.135,0.13,0.128,0.133,0.15,0.147
18,Sanaag,Laasqoray,0.159,0.153,0.149,0.149,0.16,0.153
19,Bari,Bossaso,0.151,0.148,0.145,0.145,0.15,0.147
20,Bari,Bandarbeyla,0.14,0.136,0.134,0.135,0.143,0.141
21,Bari,Caluula,0.193,0.182,0.173,0.165,0.164,0.158
22,Bari,Iskushuban,0.138,0.136,0.135,0.134,0.135,0.134
23,Bari,Qandala,0.174,0.168,0.162,0.159,0.169,0.165
24,Bari,Qardho,0.135,0.133,0.131,0.131,0.143,0.15
25,Nugaal,Garoowe,0.141,0.136,0.135,0.139,0.161,0.153
26,Nugaal,Burtinle,0.175,0.165,0.162,0.18,0.219,0.196
27,Nugaal,Eyl,0.154,0.148,0.145,0.152,0.183,0.18
28,Mudug,Gaalkacyo,0.185,0.174,0.17,0.177,0.207,0.196
29,Mudug,Galdogob,0.179,0.172,0.169,0.176,0.199,0.185
30,Mudug,Hobyo,0.173,0.158,0.152,0.158,0.191,0.181
31,Mudug,Jariiban,0.178,0.165,0.159,0.164,0.198,0.188
32,Mudug,Xarardheere,0.216,0.187,0.174,0.197,0.255,0.218
33,Galgaduud,Dhuusamarreeb,0.19,0.178,0.175,0.185,0.219,0.217
34,Galgaduud,Cabudwaaq,0.195,0.183,0.18,0.19,0.221,0.219
35,Galgaduud,Cadaado,0.194,0.181,0.176,0.18,0.206,0.198
36,Galgaduud,Ceel Buur,0.213,0.194,0.187,0.21,0.254,0.223
37,Galgaduud,Ceel Dheer,0.228,0.198,0.186,0.212,0.27,0.23
38,Hiraan,Belet Weyne,0.208,0.189,0.184,0.208,0.263,0.229
39,Hiraan,Bulo Burto,0.268,0.23,0.217,0.259,0.351,0.289
40,Hiraan,Jalalaqsi,0.306,0.258,0.238,0.258,0.328,0.281
41,Middle Shabelle,Jowhar,0.332,0.281,0.259,0.271,0.364,0.327
42,Middle Shabelle,Adan Yabaal,0.257,0.216,0.202,0.233,0.308,0.266
43,Middle Shabelle,Balcad,0.344,0.279,0.253,0.276,0.371,0.343
44,Middle Shabelle,Cadale,0.302,0.248,0.226,0.248,0.334,0.306
45,Banadir,Mogadishu,,,,,,
46,Lower Shabelle,Marka,0.411,0.338,0.303,0.3,0.337,0.327
47,Lower Shabelle,Afgooye,0.343,0.263,0.236,0.269,0.361,0.322
48,Lower Shabelle,Baraawe,0.412,0.313,0.261,0.276,0.32,0.286
49,Lower Shabelle,Kurtunwaarey,0.561,0.437,0.365,0.427,0.564,0.492
50,Lower Shabelle,Qoryooley,0.504,0.378,0.316,0.396,0.567,0.503
51,Lower Shabelle,Sablaale,0.607,0.47,0.375,0.449,0.613,0.546
52,Lower Shabelle,Wanla Weyn,0.298,0.24,0.221,0.258,0.371,0.317
53,Bay,Baydhaba,0.451,0.333,0.285,0.367,0.488,0.364
54,Bay,Buur Hakaba,0.415,0.313,0.275,0.341,0.463,0.388
55,Bay,Diinsoor,0.454,0.338,0.288,0.354,0.467,0.381
56,Bay,Qansax Dheere,0.456,0.329,0.271,0.292,0.372,0.295
57,Bakool,Xudur,0.273,0.223,0.214,0.297,0.368,0.278
58,Bakool,Ceel Barde,0.235,0.202,0.199,0.29,0.364,0.262
59,Bakool,Tayeeglow,0.308,0.257,0.244,0.34,0.467,0.344
60,Bakool,Waajid,0.324,0.256,0.24,0.338,0.409,0.291
61,Bakool,Rab Dhuure,0.234,0.187,0.173,0.21,0.237,0.181
62,Gedo,Garbahaarey,0.367,0.284,0.249,0.282,0.345,0.257
63,Gedo,Baardheere,0.435,0.328,0.271,0.29,0.391,0.32
64,Gedo,Belet Xaawo,0.402,0.302,0.265,0.317,0.349,0.256
65,Gedo,Ceel Waaq,0.479,0.357,0.301,0.333,0.394,0.286
66,Gedo,Doolow,0.283,0.222,0.203,0.226,0.234,0.176
67,Gedo,Luuq,0.307,0.234,0.208,0.245,0.282,0.202
68,Middle Juba,Bu'aale,0.547,0.427,0.358,0.433,0.567,0.513
69,Middle Juba,Jilib,0.563,0.446,0.364,0.393,0.499,0.474
70,Middle Juba,Saakow,0.459,0.345,0.282,0.306,0.433,0.374
71,Lower Juba,Kismaayo,0.576,0.441,0.362,0.404,0.513,0.467
72,Lower Juba,Afmadow,0.486,0.373,0.312,0.358,0.447,0.377
73,Lower Juba,Badhaadhe,0.608,0.5,0.422,0.451,0.548,0.524
74,Lower Juba,Jamaame,0.467,0.391,0.342,0.332,0.35,0.332
