#,Region,District,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
,,,,,,,,,
1,Awdal,Borama,"2,750","2,675","3,250","3,500","3,125","3,400","3,500"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,,,,"6,000",,,"6,500"
4,Awdal,Zeylac,"5,000","5,000","5,000","5,000","5,000","5,000","5,000"
5,Woqooyi Galbeed,Hargeysa,"4,075","3,963","4,667","5,000","5,250","5,200","5,125"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,"3,050","3,433","3,200","3,100","3,150","3,700","3,875"
8,Togdheer,Burco,"5,000","5,000","5,000","5,000","5,250","6,000","6,000"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,,,,,,,
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,,,,,,,
16,Sanaag,Ceerigaabo,,,,,,,
17,Sanaag,Ceel Afweyn,,,,,,,
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,"36,500","36,000","36,500","38,400","38,000","38,000","37,750"
20,Bari,Bandarbeyla,,,,,,,
21,Bari,Caluula,,,,,,,
22,Bari,Iskushuban,,,,,,,
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"32,000","31,500","32,000","33,200","34,750","37,200","41,000"
26,Nugaal,Burtinle,"27,500",,,"39,600","37,000",,"39,500"
27,Nugaal,Eyl,"40,000",,,"42,400","38,500",,
28,Mudug,Gaalkacyo,"12,250","12,000","12,000","14,000","18,500","20,200","19,750"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,,,,"39,000","39,000","39,000","39,000"
31,Mudug,Jariiban,,,,"31,200","35,250",,"42,000"
32,Mudug,Xarardheere,,,"8,500","9,700","11,000","9,000","8,500"
33,Galgaduud,Dhuusamarreeb,"13,500","14,750","18,000","20,400","22,000","24,200","24,250"
34,Galgaduud,Cabudwaaq,"17,000","17,000","18,000","16,080","16,900","15,960","15,600"
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,"10,375","10,500","11,167","10,800","11,000","10,200","11,250"
38,Hiraan,Belet Weyne,"17,625","17,000","17,000","16,500","17,000","18,300","19,000"
39,Hiraan,Bulo Burto,"13,000","13,000","13,000","13,000","13,750","14,600","15,000"
40,Hiraan,Jalalaqsi,"12,000","12,000",,"12,000","13,000","12,400","12,000"
41,Middle Shabelle,Jowhar,"7,100","7,250","7,333","7,250","10,000","11,200","12,875"
42,Middle Shabelle,Adan Yabaal,"21,200","21,000","22,000","22,000","21,750","22,400","23,000"
43,Middle Shabelle,Balcad,"6,000",,,"7,000","7,000","7,000","8,000"
44,Middle Shabelle,Cadale,,,,"10,500","13,000","11,000","11,000"
45,Banadir,Mogadishu,"8,600","8,150",,"8,260","8,975","8,780","8,000"
46,Lower Shabelle,Marka,"7,720","8,150","8,878","8,150","9,300","9,300","8,667"
47,Lower Shabelle,Afgooye,"6,934","7,334","7,100","7,200","10,167","8,535","10,167"
48,Lower Shabelle,Baraawe,,,,,,,
49,Lower Shabelle,Kurtunwaarey,"4,200",,,"5,000",,,
50,Lower Shabelle,Qoryooley,"5,800","22,500","10,000","10,000","10,000","10,900","11,500"
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,"6,666","6,666","4,666","5,000","6,666","6,733","8,333"
53,Bay,Baydhaba,"6,600","6,600","6,600","6,600","6,600","6,960","7,525"
54,Bay,Buur Hakaba,"4,000","4,000","4,000","4,600","6,000","6,000","6,750"
55,Bay,Diinsoor,"6,525","6,550",,"4,840","5,500","5,960","5,900"
56,Bay,Qansax Dheere,"5,250","5,250","5,500","5,800","6,000","6,000","6,625"
57,Bakool,Xudur,"12,500","12,750","12,500","13,500","13,500","13,500","16,250"
58,Bakool,Ceel Barde,"20,000","20,000","20,000","20,000","27,500","31,800","35,000"
59,Bakool,Tayeeglow,"6,000","6,000",,"5,000","7,000","7,000","8,125"
60,Bakool,Waajid,"12,500","13,000","13,000","12,000","12,250","13,000","13,000"
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,"8,125","9,000","9,000","9,000","9,000","9,000","9,500"
64,Gedo,Belet Xaawo,"17,250","17,750","18,000","18,400","18,250","18,000","18,000"
65,Gedo,Ceel Waaq,"16,000","16,750","17,000","16,600","15,500","15,000","15,750"
66,Gedo,Doolow,,,,,,,
67,Gedo,Luuq,"10,250","10,750","11,000","12,000","12,000","12,000","12,500"
68,Middle Juba,Bu'aale,"8,175","9,750","9,000","9,600","10,000","10,200","12,250"
69,Middle Juba,Jilib,,,,,,,
70,Middle Juba,Saakow,"8,025","10,000","8,500","9,400","9,700","10,800","12,250"
71,Lower Juba,Kismaayo,,,,,,,
72,Lower Juba,Afmadow,,,,,,,
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,,,,,,,
