#,Region,District,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019
,,,,,,,,,
1,Awdal,Borama,"5,200","5,200","5,200","5,400","4,250","4,375","4,200"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,"7,000","7,500","7,500","7,500","8,000","7,000","7,000"
4,Awdal,Zeylac,"9,000","9,000","9,000","9,000","9,000","8,000","7,000"
5,Woqooyi Galbeed,Hargeysa,"5,000","5,000","5,000","5,000","5,000","5,375","5,000"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,"7,000","7,000","7,500","7,500","6,500","6,238","6,500"
8,Togdheer,Burco,"5,000","5,000","6,000","6,000","5,000","5,000","5,000"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,"20,000","19,000","18,000","19,250","20,000","19,000","18,500"
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,"17,000","17,000","17,500","18,000","18,000","18,000","18,250"
16,Sanaag,Ceerigaabo,"16,000","16,750","18,000","17,375","18,000","16,250","17,000"
17,Sanaag,Ceel Afweyn,"6,125","6,125","6,125","7,500","7,000","7,000","6,500"
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,"20,000","19,000","20,000","20,000","20,000","20,500","19,000"
20,Bari,Bandarbeyla,"22,000","20,500","20,000","20,000","20,000","20,000","20,000"
21,Bari,Caluula,"25,000","25,000","25,000","25,000","25,000","25,000","25,000"
22,Bari,Iskushuban,"22,000","21,000","20,000","20,000","20,000","20,000","20,000"
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"18,750","18,000","18,000","17,250","17,800","17,500","17,000"
26,Nugaal,Burtinle,,"17,500","20,000","20,000","19,600","21,000","22,000"
27,Nugaal,Eyl,"22,500","22,000","20,750","26,000","24,200","24,500","23,250"
28,Mudug,Gaalkacyo,"20,000","20,000","20,000","20,000","20,000","22,000","22,000"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,"29,000","32,000","32,000","33,000","30,000","29,000","29,000"
31,Mudug,Jariiban,"24,000","22,250","21,500","21,000","20,800","20,800","21,500"
32,Mudug,Xarardheere,"16,000","17,000","17,000","17,000","17,000","17,000","17,000"
33,Galgaduud,Dhuusamarreeb,"20,000","20,000","20,000","20,000","20,000","20,000","20,000"
34,Galgaduud,Cabudwaaq,"22,000","22,000","22,000","22,000","22,000","22,000","22,000"
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,"16,000","16,000","16,000","14,000","14,000","16,000","16,000"
38,Hiraan,Belet Weyne,"14,000","14,000","14,000","14,000","14,000","14,000","15,000"
39,Hiraan,Bulo Burto,"16,000","17,000","17,000","18,000","17,000","17,000","18,000"
40,Hiraan,Jalalaqsi,"16,000","18,000","16,000","16,000","18,000","18,000","18,000"
41,Middle Shabelle,Jowhar,"14,000","14,000","14,000","14,000","14,000","15,000","13,000"
42,Middle Shabelle,Adan Yabaal,"25,250","25,250","26,000","25,250","26,500","25,000","25,000"
43,Middle Shabelle,Balcad,"15,000","15,000","14,000","15,000","15,000","15,000","15,000"
44,Middle Shabelle,Cadale,"12,250","12,250","12,250","12,250","12,250","14,000","14,000"
45,Banadir,Mogadishu,"12,000","13,000","12,250","12,000","12,000","12,750","12,000"
46,Lower Shabelle,Marka,"14,250","14,250","14,000","14,000","16,000","16,000","15,500"
47,Lower Shabelle,Afgooye,"13,000","13,000","13,000","13,000","13,500","13,500","13,500"
48,Lower Shabelle,Baraawe,"14,000","14,000","14,000","14,000","14,500","15,000","15,000"
49,Lower Shabelle,Kurtunwaarey,"16,000","16,000","16,000","16,000","16,000","16,000","16,000"
50,Lower Shabelle,Qoryooley,"15,000","15,000","15,000","15,000","15,000","16,000","15,000"
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,"13,000","13,000","13,000","14,000","14,000","13,000","13,000"
53,Bay,Baydhaba,"15,000","15,000","15,000","15,000","15,000","15,000","15,000"
54,Bay,Buur Hakaba,"14,000","15,000","15,000","14,500","14,000","14,000","14,000"
55,Bay,Diinsoor,"17,250","17,500","17,000","17,000","17,400","18,000","18,000"
56,Bay,Qansax Dheere,"16,000","16,000","16,000","16,000","16,600","17,000","17,250"
57,Bakool,Xudur,"18,000","18,000","18,000","18,000","18,000","19,500","18,250"
58,Bakool,Ceel Barde,"40,000","35,000","35,000","35,000","35,000","38,750","40,000"
59,Bakool,Tayeeglow,"15,000","15,000","15,000","15,000","16,000","16,500","16,000"
60,Bakool,Waajid,"26,750","26,000","25,000","26,000","25,400","26,750","25,750"
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,"15,750","16,000","16,000","16,000","16,000","16,000","15,500"
64,Gedo,Belet Xaawo,"18,500","18,500","18,500","18,000","18,000","18,500","19,000"
65,Gedo,Ceel Waaq,"19,000","18,250","18,000","18,500","18,800","18,750","19,000"
66,Gedo,Doolow,,,,,,,
67,Gedo,Luuq,"18,750","18,500","19,000","19,750","20,000","19,500","19,000"
68,Middle Juba,Bu'aale,"17,250","15,000","15,000","15,500","15,000","18,000","18,000"
69,Middle Juba,Jilib,"15,000","15,000","15,000","15,000","15,000","15,000","15,000"
70,Middle Juba,Saakow,"16,000","15,000","15,000","14,000","14,500","15,000","16,000"
71,Lower Juba,Kismaayo,"13,000","13,000","13,000","13,000","13,000","13,000","13,000"
72,Lower Juba,Afmadow,"18,000","18,000","17,000","17,000","17,000","17,000","17,000"
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,"16,000","16,000","16,000","15,000","16,000","16,000","16,000"
