#,Region,District,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016
,,,,,,,,
1,Awdal,Borama,,,,,1,1
2,Awdal,Baki,258,378,391,323,277,
3,Awdal,Lughaye,,,,,,
4,Awdal,Zeylac,,,,2,,
5,Woqooyi Galbeed,Hargeysa,,,,,,
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,1,,,,5,
8,Togdheer,Burco,,,1,,,
9,Togdheer,Buuhoodle,,,,,,
10,Togdheer,Owdweyne,,,,,,
11,Togdheer,Sheikh,,,,,,
12,Sool,Laas Caanood,1,,,1,,
13,Sool,Caynabo,,,,,,
14,Sool,Taleex,,,,,,4
15,Sool,Xudun,,,,,,
16,Sanaag,Ceerigaabo,,,,,,1
17,Sanaag,Ceel Afweyn,,,,,,
18,Sanaag,Laasqoray,,,,,,2
19,Bari,Bossaso,946,830,821,677,169,204
20,Bari,Bandarbeyla,,1,,,,
21,Bari,Caluula,,,,,,
22,Bari,Iskushuban,,3,1,1,,
23,Bari,Qandala,84,102,130,79,107,
24,Bari,Qardho,4,3,,3,1,
25,Nugaal,Garoowe,2,,4,7,4,2
26,Nugaal,Burtinle,,,,,,10
27,Nugaal,Eyl,,,,,,
28,Mudug,Gaalkacyo,1,,,,,
29,Mudug,Galdogob,,,,,,
30,Mudug,Hobyo,,,,,,
31,Mudug,Jariiban,,,,,,11
32,Mudug,Xarardheere,,,,,,
33,Galgaduud,Dhuusamarreeb,81,101,25,32,116,170
34,Galgaduud,Cabudwaaq,,,,,,
35,Galgaduud,Cadaado,,,,,,139
36,Galgaduud,Ceel Buur,,,128,84,,
37,Galgaduud,Ceel Dheer,79,74,292,89,88,152
38,Hiraan,Belet Weyne,373,382,21,18,28,31
39,Hiraan,Bulo Burto,,,128,57,,
40,Hiraan,Jalalaqsi,15,3,2,1,,
41,Middle Shabelle,Jowhar,64,,,,60,56
42,Middle Shabelle,Adan Yabaal,,,,,,
43,Middle Shabelle,Balcad,80,230,251,169,78,116
44,Middle Shabelle,Cadale,,,,,,
45,Banadir,Mogadishu,316,369,411,332,303,427
46,Lower Shabelle,Marka,542,223,229,141,193,198
47,Lower Shabelle,Afgooye,,,,,,326
48,Lower Shabelle,Baraawe,10,11,,,27,23
49,Lower Shabelle,Kurtunwaarey,163,101,75,10,12,18
50,Lower Shabelle,Qoryooley,12,,39,57,12,20
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,18,8,9,6,12,18
53,Bay,Baydhaba,605,577,613,435,551,736
54,Bay,Buur Hakaba,,,,,,
55,Bay,Diinsoor,,,,,,
56,Bay,Qansax Dheere,26,,,,,46
57,Bakool,Xudur,54,32,36,30,21,24
58,Bakool,Ceel Barde,,,,,26,40
59,Bakool,Tayeeglow,47,38,45,31,33,34
60,Bakool,Waajid,33,34,31,21,62,94
61,Bakool,Rab Dhuure,,,,,,
62,Gedo,Garbahaarey,5,3,,,3,
63,Gedo,Baardheere,,,,,,
64,Gedo,Belet Xaawo,46,23,15,15,33,89
65,Gedo,Ceel Waaq,2,3,1,,8,6
66,Gedo,Doolow,39,28,26,20,43,
67,Gedo,Luuq,21,20,16,17,26,39
68,Middle Juba,Bu'aale,,,,,,
69,Middle Juba,Jilib,34,47,46,45,29,39
70,Middle Juba,Saakow,,,,,,
71,Lower Juba,Kismaayo,133,177,217,197,160,239
72,Lower Juba,Afmadow,22,25,33,28,30,82
73,Lower Juba,Badhaadhe,7,,,,,
74,Lower Juba,Jamaame,29,27,41,28,36,44
