#,Region,District,Jul-2021,Aug-2021,Sep-2021,Oct-2021,Nov-2021,Dec-2021
,,,,,,,,
1,Awdal,Borama,2.2,1.22,0.98,0.77,0.61,0.53
2,Awdal,Baki,1.71,1.91,2.57,2.75,2.42,2.47
3,Awdal,Lughaye,1.71,1.86,2.58,2.06,1.39,1.53
4,Awdal,Zeylac,1.38,0.71,0.88,0.94,0.77,0.67
5,Woqooyi Galbeed,Hargeysa,0.96,0.79,0.64,0.54,0.56,0.51
6,Woqooyi Galbeed,Berbera,1.58,2.03,2.61,1.65,1.23,0.93
7,Woqooyi Galbeed,Gebiley,1.13,0.69,0.54,0.63,0.69,0.55
8,Togdheer,Burco,1.17,2.06,2.37,2.16,2.14,1.84
9,Togdheer,Buuhoodle,1.6,1.73,2.02,1.86,1.37,1.14
10,Togdheer,Owdweyne,0.99,0.78,0.62,0.77,0.87,0.7
11,Togdheer,Sheikh,0.97,1.13,1.39,0.87,0.71,0.55
12,Sool,Laas Caanood,0.9,1.65,2.22,1.38,1.3,1.01
13,Sool,Caynabo,1.17,1.03,0.84,0.74,0.53,0.54
14,Sool,Taleex,1.39,1.52,1.86,1.83,1.45,1.19
15,Sool,Xudun,0.65,0.85,1.09,1.31,1.15,0.97
16,Sanaag,Ceerigaabo,1.11,0.91,0.74,0.72,0.66,0.59
17,Sanaag,Ceel Afweyn,0.94,1.04,1.33,1.29,1.12,0.85
18,Sanaag,Laasqoray,1.55,1.5,1.8,1.59,1.13,0.86
19,Bari,Bossaso,1.14,0.92,1.24,1.32,1.15,0.91
20,Bari,Bandarbeyla,1.11,1.22,1.59,1.14,0.53,0.41
21,Bari,Caluula,1.65,1.63,1.79,1.23,0.37,0.43
22,Bari,Iskushuban,1.23,1.23,1.42,1.29,0.7,0.52
23,Bari,Qandala,1.4,1.1,1.02,0.84,0.51,0.48
24,Bari,Qardho,0.64,0.9,1.2,1.08,0.9,0.69
25,Nugaal,Garoowe,0.54,0.68,0.86,0.81,0.69,0.54
26,Nugaal,Burtinle,0.62,0.66,0.68,0.49,0.31,0.31
27,Nugaal,Eyl,0.83,0.66,0.84,0.78,0.42,0.33
28,Mudug,Gaalkacyo,1.14,0.93,0.74,0.53,0.34,0.28
29,Mudug,Galdogob,1.29,1.02,0.77,0.55,0.33,0.28
30,Mudug,Hobyo,1.17,0.91,0.93,0.74,0.38,0.33
31,Mudug,Jariiban,1.35,1.41,1.68,1.18,0.45,0.41
32,Mudug,Xarardheere,1.17,1.05,0.78,0.71,0.43,0.39
33,Galgaduud,Dhuusamarreeb,1.51,1.52,1.4,0.94,0.51,0.46
34,Galgaduud,Cabudwaaq,1.47,1.4,1.16,0.7,0.44,0.39
35,Galgaduud,Cadaado,1.62,1.48,1.15,0.61,0.35,0.29
36,Galgaduud,Ceel Buur,1.01,0.78,0.69,0.59,0.38,0.36
37,Galgaduud,Ceel Dheer,1.1,0.99,0.74,0.67,0.42,0.38
38,Hiraan,Belet Weyne,1.54,1.56,1.25,0.81,0.42,0.36
39,Hiraan,Bulo Burto,0.86,0.71,0.61,0.43,0.25,0.24
40,Hiraan,Jalalaqsi,0.86,0.9,0.75,0.56,0.41,0.36
41,Middle Shabelle,Jowhar,0.76,0.8,0.74,0.58,0.39,0.34
42,Middle Shabelle,Adan Yabaal,0.9,0.91,0.72,0.55,0.42,0.36
43,Middle Shabelle,Balcad,0.8,0.87,0.8,0.65,0.49,0.44
44,Middle Shabelle,Cadale,0.86,0.91,0.76,0.65,0.51,0.47
45,Banadir,Mogadishu,,,,,,
46,Lower Shabelle,Marka,0.81,0.9,1.05,1.04,0.73,0.62
47,Lower Shabelle,Afgooye,0.83,0.86,0.89,0.84,0.52,0.38
48,Lower Shabelle,Baraawe,0.92,1.04,1.1,1.02,0.7,0.44
49,Lower Shabelle,Kurtunwaarey,0.75,0.93,1.05,0.78,0.52,0.33
50,Lower Shabelle,Qoryooley,0.68,0.83,0.87,0.86,0.55,0.37
51,Lower Shabelle,Sablaale,0.97,0.95,0.97,0.84,0.58,0.37
52,Lower Shabelle,Wanla Weyn,0.6,0.72,0.69,0.52,0.4,0.34
53,Bay,Baydhaba,1.26,1.19,1.05,0.63,0.44,0.36
54,Bay,Buur Hakaba,0.74,0.91,0.8,0.52,0.39,0.31
55,Bay,Diinsoor,0.95,1.04,1.1,0.84,0.56,0.36
56,Bay,Qansax Dheere,1.16,1.17,1.01,0.6,0.4,0.32
57,Bakool,Xudur,1.54,1.47,1.22,0.68,0.45,0.39
58,Bakool,Ceel Barde,1.84,1.59,1.29,0.72,0.4,0.33
59,Bakool,Tayeeglow,1.4,1.25,1.02,0.67,0.43,0.36
60,Bakool,Waajid,1.58,1.39,1.13,0.58,0.43,0.35
61,Bakool,Rab Dhuure,2.73,2.3,1.74,0.8,0.79,0.83
62,Gedo,Garbahaarey,1.17,1.18,1.03,0.57,0.42,0.35
63,Gedo,Baardheere,1.15,1.2,1.28,0.92,0.58,0.58
64,Gedo,Belet Xaawo,1.67,1.49,1.32,0.74,0.39,0.34
65,Gedo,Ceel Waaq,1.4,1.44,1.24,0.65,0.43,0.48
66,Gedo,Doolow,1.78,1.27,1.19,0.82,0.33,0.27
67,Gedo,Luuq,1.68,1.47,1.23,0.65,0.36,0.28
68,Middle Juba,Bu'aale,1,0.98,1.05,0.89,0.66,0.41
69,Middle Juba,Jilib,1.13,1.28,1.3,1.04,0.75,0.49
70,Middle Juba,Saakow,1.34,1.21,1.32,1.09,0.53,0.36
71,Lower Juba,Kismaayo,1.42,1.5,1.69,1.75,0.94,0.84
72,Lower Juba,Afmadow,1.21,1.15,1.27,1.08,0.7,0.7
73,Lower Juba,Badhaadhe,1.43,1.51,1.83,1.78,0.97,0.88
74,Lower Juba,Jamaame,1.47,1.49,1.58,1.42,0.91,0.55
