#,Region,District,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
,,,,,,,,
1,Awdal,Borama,4000,4000,4000,4000,4000,4000
2,Awdal,Baki,,,,,,
3,Awdal,Lughaye,5000,5000,,,,5000
4,Awdal,Zeylac,4500,4500,4500,4500,4500,4500
5,Woqooyi Galbeed,Hargeysa,9000,9000,9000,9000,9000,9000
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,10500,10500,10500,12000,12000,10375
8,Togdheer,Burco,5000,5000,6000,5000,5000,5000
9,Togdheer,Buuhoodle,,,,,,
10,Togdheer,Owdweyne,,,,,,
11,Togdheer,Sheikh,,,,,,
12,Sool,Laas Caanood,60000,72500,77500,65000,90000,165000
13,Sool,Caynabo,,,,,,
14,Sool,Taleex,,,,,,
15,Sool,Xudun,55000,66250,,,,185000
16,Sanaag,Ceerigaabo,40000,40000,40000,43000,43750,40000
17,Sanaag,Ceel Afweyn,43750,44000,,,,45000
18,Sanaag,Laasqoray,,,,,,
19,Bari,Bossaso,10000,10000,10000,10000,10000,10000
20,Bari,Bandarbeyla,32500,30000,30000,30000,30000,30000
21,Bari,Caluula,20000,20000,20000,20000,20000,20000
22,Bari,Iskushuban,30000,30000,30000,30000,30000,30000
23,Bari,Qandala,,,,,,
24,Bari,Qardho,,,,,,
25,Nugaal,Garoowe,4000,4000,4000,4000,4000,4000
26,Nugaal,Burtinle,35000,35000,,,,70000
27,Nugaal,Eyl,42500,50000,,,,62500
28,Mudug,Gaalkacyo,20000,20000,20000,20000,20000,20000
29,Mudug,Galdogob,,,,,,
30,Mudug,Hobyo,20000,20000,,,,20000
31,Mudug,Jariiban,35000,42500,,,,50000
32,Mudug,Xarardheere,14000,14000,15000,16000,16000,16000
33,Galgaduud,Dhuusamarreeb,25000,25000,25000,25000,25000,25000
34,Galgaduud,Cabudwaaq,15000,15000,15000,15000,15000,15000
35,Galgaduud,Cadaado,,,,,,
36,Galgaduud,Ceel Buur,,,,,,
37,Galgaduud,Ceel Dheer,75000,60000,60000,8000,39500,40000
38,Hiraan,Belet Weyne,20000,20000,20000,20000,20000,20000
39,Hiraan,Bulo Burto,30000,30000,30000,30000,30000,30000
40,Hiraan,Jalalaqsi,10000,28000,,,,10000
41,Middle Shabelle,Jowhar,16000,16000,16000,16000,16000,18000
42,Middle Shabelle,Adan Yabaal,12000,12000,12000,9000,9000,9000
43,Middle Shabelle,Balcad,,,,,,
44,Middle Shabelle,Cadale,30000,30000,,,,30000
45,Banadir,Mogadishu,,,,,,
46,Lower Shabelle,Marka,29250,29000,29000,,,29750
47,Lower Shabelle,Afgooye,15000,15000,15000,25000,22500,22500
48,Lower Shabelle,Baraawe,15000,15000,15000,25000,22500,12000
49,Lower Shabelle,Kurtunwaarey,22500,22500,,,,20000
50,Lower Shabelle,Qoryooley,15000,15000,15000,15000,15000,15000
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,10000,10000,10000,10000,,10000
53,Bay,Baydhaba,20000,20000,20000,20000,20000,26250
54,Bay,Buur Hakaba,20000,26000,,,,60000
55,Bay,Diinsoor,35000,37000,40000,40000,32500,40000
56,Bay,Qansax Dheere,20000,20000,20000,20000,20000,20000
57,Bakool,Xudur,25000,25000,25000,25000,27500,30000
58,Bakool,Ceel Barde,40000,40000,40000,32000,37500,45000
59,Bakool,Tayeeglow,30000,30000,,,,70000
60,Bakool,Waajid,,,,,,
61,Bakool,Rab Dhuure,,,,,,
62,Gedo,Garbahaarey,,,,,,
63,Gedo,Baardheere,8000,8000,8000,8000,8000,8000
64,Gedo,Belet Xaawo,22000,22000,22000,22000,22000,22000
65,Gedo,Ceel Waaq,14000,14000,14000,15000,15000,15000
66,Gedo,Doolow,30000,30000,,,,
67,Gedo,Luuq,15000,15000,15000,15000,15000,15000
68,Middle Juba,Bu'aale,30000,30000,30000,30000,30000,30000
69,Middle Juba,Jilib,27500,30000,30000,30000,30000,30000
70,Middle Juba,Saakow,30000,30000,30000,30000,30000,30000
71,Lower Juba,Kismaayo,70000,70000,70000,70000,70000,70000
72,Lower Juba,Afmadow,25000,25000,25000,25000,25000,25000
73,Lower Juba,Badhaadhe,,,,,,
74,Lower Juba,Jamaame,10000,10000,10000,10000,10000,10000
